productName,orderType,productId,category,unit,price,priceLabel,stockStatus,enabled,note
Carrot Round (10 x 1kg),wholesale,w-bulk-veg-carrot-round,Bulk & Pantry,each,30.99,,in_stock,TRUE,No VAT; frozen 1kg x 10 bags; on order
Country Crop (10 x 1kg),wholesale,w-bulk-veg-country,Bulk & Pantry,each,32.99,,in_stock,TRUE,No VAT; frozen 1kg x 10 bags; on order
Peas (10 x 1kg),wholesale,w-bulk-veg-peas,Bulk & Pantry,each,34.99,,in_stock,TRUE,No VAT; frozen 1kg x 10 bags; on order
Country Mix (10 x 1kg),wholesale,w-bulk-veg-country-mix,Bulk & Pantry,each,37.99,,in_stock,TRUE,No VAT; frozen 1kg x 10 bags; on order
Broccoli Florets (6 x 1kg),wholesale,w-bulk-veg-broccoli-florets,Bulk & Pantry,each,41.99,,in_stock,TRUE,No VAT; frozen 1kg x 6 bags; on order
Mix Veg (10 x 900g),wholesale,w-bulk-veg-mix-900,Bulk & Pantry,each,34.99,,in_stock,TRUE,No VAT; frozen 900g x 10 bags; on order
Mushroom Pieces & Stems (10 x 1kg),wholesale,w-bulk-veg-mushroom,Bulk & Pantry,each,37.99,,in_stock,TRUE,No VAT; frozen 1kg x 10 bags; on order
Chicken Necks,wholesale,w-budget-chk-necks-1,Budget Items,each,28.74,,in_stock,TRUE,Frozen 1kg bags; in stock
Chicken Necks Tray,wholesale,w-budget-chk-necks-tray,Budget Items,each,9.19,,in_stock,TRUE,Frozen 280g tray; in stock; for smaller portions or resale
Chicken Liver,wholesale,w-budget-chk-liver-1,Budget Items,each,27.59,,in_stock,TRUE,1kg bags; in stock
Chicken Liver 270G,wholesale,w-budget-chk-liver-270,Budget Items,each,9.19,,in_stock,TRUE,Packed in 270g trays; in stock; for smaller portions or resale
Chicken Liver Frozen 1kg,wholesale,w-budget-chk-liver-frozen,Budget Items,each,28.74,,in_stock,TRUE,Frozen 1kg bags; in stock
Chicken Gizzards/Maggies,wholesale,w-budget-giz-1,Budget Items,each,41.39,,in_stock,TRUE,Frozen 1kg bags; in stock
Chicken Gizzards/Maggies Tray,wholesale,w-budget-giz-tray,Budget Items,each,13.79,,in_stock,TRUE,Frozen 250g tray; in stock; for smaller portions or resale
Chicken Skins Tray,wholesale,w-budget-skins-tray,Budget Items,each,9.19,,in_stock,TRUE,Frozen 300g tray; in stock; for smaller portions or resale
Chicken Chunks,wholesale,w-budget-chunks-1,Budget Items,each,28.74,,in_stock,TRUE,Frozen 1kg bags; in stock
Chicken Chunks Tray,wholesale,w-budget-chunks-tray,Budget Items,each,9.19,,in_stock,TRUE,Frozen 300g tray; in stock; for smaller portions or resale
Meaty Bones Wild,wholesale,w-budget-wild-bones,Budget Items,kg,22.99,,in_stock,TRUE,Frozen 20kg box; in stock
Meaty Bones Wild Trays,wholesale,w-budget-bones-tray,Budget Items,each,20.00,,in_stock,TRUE,Frozen 700g tray; in stock; for smaller portions or resale
Ground Beef Style Patties,wholesale,w-budget-gbf-patty,Budget Items,each,4.01,,in_stock,TRUE,"Frozen 80g patty, 100mm; in stock"
Ground Beef Style Patties Tray,wholesale,w-budget-gbf-patty-tray,Budget Items,each,16.00,,in_stock,TRUE,4 patties per tray; in stock; for resale
Ground Beef Style Meatballs,wholesale,w-budget-gbf-mball,Budget Items,each,2.00,,in_stock,TRUE,40g meatball; in stock
Ground Beef Style Meatballs Tray,wholesale,w-budget-gbf-mball-tray,Budget Items,each,11.99,,in_stock,TRUE,10 meatballs per tray; in stock
Ground Beef Style Mince,wholesale,w-budget-gbf-mince,Budget Items,each,30.00,,in_stock,TRUE,Frozen 1kg bags; made on order
Ground Beef Style Mince Tray,wholesale,w-budget-gbf-mince-tray,Budget Items,each,9.19,,in_stock,TRUE,Frozen 300g tray; made on order; for smaller portions or resale
French Polony 250g,wholesale,w-budget-pol-250,Budget Items,each,9.19,,in_stock,TRUE,Fresh 250g roll; made on order; ready to eat
Garlic French Polony 250g,wholesale,w-budget-pol-garl,Budget Items,each,9.19,,in_stock,TRUE,Fresh 250g roll; made on order; ready to eat
Chicken Polony 250g,wholesale,w-budget-pol-chk,Budget Items,each,9.19,,in_stock,TRUE,Fresh 250g roll; made on order; ready to eat
French Polony 1.8kg,wholesale,w-budget-polony,Budget Items,each,57.49,,in_stock,TRUE,Fresh 1.8kg roll; made on order; ready to eat
